repo_name,all_commit,one_file,c_language,is_opt_keyword,has_file,has_file_with_func,one_func,one_func_deduplicate,is_opt_llm,is_opt_final
nccl-rdma-sharp-plugins,198,98,67,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncdu,358,167,131,6,6,6,2,2,2,1
nchan,3774,2128,1166,22,22,22,10,10,10,3
nchat,578,123,29,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncl,14267,8888,2830,55,54,54,4,4,4,1
ncls,97,18,5,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncmdump,117,86,18,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncmpc,3851,2147,1557,36,36,36,12,12,12,9
ncmpcpp,2365,1027,874,34,34,34,18,18,18,2
ncmppGui,24,13,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncnn,3366,1544,923,80,80,80,42,42,42,26
ncnn-android-nanodet,16,9,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncnn-android-scrfd,10,4,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncnn-android-squeezenet,32,22,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncnn-android-yolov5,5,3,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncnn-android-yolov7,6,3,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncnn-android-yolov8,18,9,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncnn-android-yolox,5,3,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncnn-editor,128,34,15,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncnn-mobile,5,4,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncnn-models,70,19,3,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncnn-webassembly-nanodet,17,12,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncnn-webassembly-yolov5,4,2,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncnn_Android_MoveNet,10,6,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncnn_Android_RobustVideoMatting,22,20,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncnn_Android_face,34,27,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncnn_example,167,116,51,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncnn_paddleocr,25,19,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nco,15677,6152,2775,18,18,18,1,1,1,0
ncompress,130,77,43,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncpamixer,252,133,90,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ncrack,962,563,392,4,4,4,1,1,1,1
ncsa-mosaic,39,20,4,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
